status,text
1,"Отличная пешеходная дорога вдоль речки, чистый воздух, максимальная точка подъёма 1060 метров над уровнем моря. Чисто, на всем протяжении расположены площадки для разминки, скамьи, урны для мусора, кафе . Имеется отдельно стоящая, огороженая площадка для собак, специальные дисплеи с мешочками для сбора экскрементов четвероногих друзей. Рекомендую пройтись по терренкуру, если будет возможность!"
1,"Прекрасное место как для прогулок, так и для занятий спортом. С каждым годом терренкур преображается в лучшую сторону - досаживаются растения, прибавляются новые точки для отдыха и спорта. Люди и атмосфера здесь настоящие - алматинские ❤️"
1,"Замечательная пешеходная дорожка вдоль малой Алматинки. Недавно реконструированная. Приятно посидеть летом в тени деревьев под шум реки на скамейке, покачаться на качелях, позаниматься на тренажёрах, детям в радость поиграть на детских площадках. И в зимнее время можно пройтись пешком, совершить пробежку 4,5км терренкура к услугам алмаатинцев."
1,"Мне нравится там гулять как раз живу рядом,можно гулять каждый день,зимой можно кататься на склонах,но площадка вторая от моста большого очень сильно скрепит и брусья слишком высоко без родителей никто не справится."
1,"Парк Терренкур простирается вдоль Малой Алматинки до озера. Приятное и благоустроенное место для прогулок, уголок природы в городе. Терренкур в более широком смысле - это ""тропа здоровья"", пешеходный маршрут с элементами восхождения. Согласно 2гис, длина алматинского терренкура — 4,5 километра, наивысшая точка составляет 1058 метров, а низшая — 876 метров над уровнем моря."
1,"Потрясающее место для прогулки как в одиночку, так и с семьёй или компанией) Всегда чистота на тропинке, много урн и спортивных площадок! Одним словом КЛАССССС!!!"
1,"Место где можно собраться с мыслями,с друзьями. Или просто отдохнуть от суеты и шума. Охрана обеспечивает порядок и безопасность. Хорошо пооводить уроки на свежем воздухе. С детишками приити. Да!"
1,"Одно из немногих мест в городе, где можно прогуляться, отдохнуть и подышать свежим воздухом. Осенью , с утра , когда солнце только взошло, особенно красиво!"
1,"Идеально для пеших прогулок и пробежек. Нужно отдать должное городским властям. Терренкур облагородили, озеленили , поставили туалеты, тренажеры. Спасибо."
1,"Практически каждый день гуляю здесь. Чистенько, но с приходом тепла стало многолюдно. Точно знаю, что летом туалет работал и установили питьевые фонтанчики"
